numRows,numCols,matrixSize,Frobenius_norm,mean-time(ms),median-time(ms),std-deviation(ms)
194,515463,99999822,5240584.500000,0.714974,0.705957,0.030565
650,214607,139494550,5124079.000000,0.985644,0.977039,0.031344
841,231377,194588057,7584825.000000,1.364274,1.354933,0.032200
667,406959,271441653,5850913.500000,1.892198,1.882792,0.032161
258,1467627,378647766,6052587.500000,2.640833,2.634048,0.029159
993,531918,528194574,7150804.500000,3.728281,3.724098,0.031987
938,785507,736805566,9812423.000000,5.344174,5.341053,0.023477
838,1226501,1027807838,12661893.000000,7.784670,7.786036,0.037304
115,12467324,1433742260,19174238.000000,11.311271,11.311054,0.048096
571,3502626,1999999446,14367718.000000,16.376257,16.366959,0.041164
