numRows,numCols,matrixSize,Frobenius_norm,mean-time(ms),median-time(ms),std-deviation(ms)
194,515463,99999822,5240584.500000,389.358824,389.344931,0.054750
650,214607,139494550,5124079.000000,543.248393,543.240070,0.076338
841,231377,194588057,7584825.000000,757.765900,757.788181,0.069951
667,406959,271441653,5850913.500000,1057.844877,1057.781935,0.240220
258,1467627,378647766,6052587.500000,1474.663474,1474.653959,0.069868
993,531918,528194574,7150804.500000,2050.762350,2050.734043,0.103416
938,785507,736805566,9812423.000000,2869.230465,2869.247913,0.108463
838,1226501,1027807838,12661893.000000,4003.268134,4003.323078,0.228067
115,12467324,1433742260,19174238.000000,5584.071550,5583.978891,0.360519
571,3502626,1999999446,14367718.000000,7800.788446,7790.419102,33.284012
