matrixSize,gridStride_time,warpStride_time,blockStride_time,hostCompute_time,warpStride_speedup_over_gridStride,blockStride_speedup_over_gridStride,gridStride_speedup_over_hostCompute
99999822,0.88009,0.713652,0.714974,389.358824,1.233220112884151,1.2309398663447901,442.40796282198414
139494550,1.262578,0.984474,0.985644,543.248393,1.282489938789648,1.2809675704412546,430.2691738649018
194588057,1.815709,1.361457,1.364274,757.7659,1.3336513749607957,1.3308976056129487,417.33884669845224
271441653,2.621456,1.90698,1.892198,1057.844877,1.3746636042328708,1.3854025847189353,403.5333330027283
378647766,3.665881,2.607606,2.640833,1474.663474,1.4058416033710615,1.3881532834526076,402.26714233222515
528194574,5.289273,3.6392,3.728281,2050.76235,1.4534164102000438,1.4186894710994153,387.721025176806
736805566,7.550283,5.073266,5.344174,2869.230465,1.48824898990118,1.4128063569786464,380.0162808466914
1027807838,10.716698,7.05823,7.78467,4003.268134,1.5183265492906861,1.3766412705997813,373.55425467807345
1433742260,15.134356,9.821415,11.311271,5584.07155,1.5409547402283683,1.3379889846154336,368.9665784259337
1999999446,21.342278,13.713945,16.376257,7800.788446,1.5562464338306738,1.303245179896725,365.5087074585009
