numRows,numCols,matrixSize,Frobenius_norm,mean-time(ms),median-time(ms),std-deviation(ms)
194,515463,99999822,5240584.500000,0.713652,0.704050,0.030985
650,214607,139494550,5124079.000000,0.984474,0.974894,0.032023
841,231377,194588057,7584825.000000,1.361457,1.352072,0.031334
667,406959,271441653,5850913.500000,1.906980,1.897097,0.031840
258,1467627,378647766,6052587.500000,2.607606,2.600908,0.024380
993,531918,528194574,7150804.500000,3.639200,3.631115,0.025644
938,785507,736805566,9812423.000000,5.073266,5.066156,0.024502
838,1226501,1027807838,12661893.000000,7.058230,7.050991,0.026106
115,12467324,1433742260,19174238.000000,9.821415,9.815216,0.024361
571,3502626,1999999446,14367718.000000,13.713945,13.705969,0.026089
