n,L2_norm,mean-time(ms),median-time(ms),std-deviation(ms)
100000,179946.296875,0.019312,0.017166,0.006584
162377,213994.062500,0.023300,0.020027,0.010592
263665,217530.593750,0.030539,0.024080,0.021356
428133,430875.187500,0.034202,0.030994,0.008928
695192,353695.406250,0.057741,0.056028,0.006815
1128837,452362.468750,0.088258,0.087023,0.005243
1832980,1098733.250000,0.107310,0.097990,0.029808
2976351,1263392.125000,0.094739,0.092983,0.006411
4832930,947668.500000,0.111753,0.108957,0.006762
7847599,1233749.000000,0.142964,0.139952,0.007461
12742749,1817706.875000,0.206015,0.196934,0.030532
20691380,2211029.000000,0.306693,0.303984,0.009780
33598182,4291760.000000,0.486872,0.477791,0.030919
54555947,3077299.000000,0.774232,0.765085,0.030434
88586679,4764464.000000,1.238931,1.230001,0.031533
143844988,11907124.000000,1.992074,1.983166,0.030125
233572146,8008235.500000,3.210068,3.203154,0.024599
379269019,9012922.000000,5.217791,5.211115,0.023836
615848211,14469939.000000,8.641113,8.638144,0.047910
1000000000,20058580.000000,14.615449,14.607906,0.039941
