n,L1_norm,mean-time(ms),median-time(ms),std-deviation(ms)
100000,46583650,0.409105,0.407934,0.002713
162377,69918202,0.664906,0.663042,0.003825
263665,89174562,1.080210,1.079082,0.007089
428133,237887648,1.751813,1.750946,0.007203
695192,235578321,2.866723,2.860069,0.019796
1128837,384129878,4.651351,4.628181,0.039482
1832980,1307338665,7.550933,7.546902,0.039054
2976351,1876795909,12.290564,12.290001,0.071315
4832930,1663141352,20.168261,20.174026,0.068334
7847599,2777070916,32.110561,32.100916,0.031689
12742749,5274230879,52.424409,52.427053,0.118002
20691380,8111513902,84.614038,84.606886,0.024369
33598182,21435442284,137.314558,137.315035,0.024488
54555947,18229439305,223.089543,223.083019,0.059093
88586679,36191339429,362.371163,362.360001,0.048249
143844988,130674397667,588.067250,588.063002,0.057152
233572146,99377323846,954.977816,954.977989,0.068985
379269019,140718178424,1551.010197,1551.051855,0.124334
615848211,295485328871,2519.923730,2519.320965,2.368441
1000000000,529987752328,4103.356275,4089.433193,46.284632
