n,gridStride_time,warpStride_time,blockStride_time,warpStride_speedup_over_gridStride,blockStride_speedup_over_gridStride
100000,0.020114,0.016277,0.016668,1.23573140013516,1.2067434605231582
162377,0.025532,0.020374,0.020439,1.253165799548444,1.2491804882822055
263665,0.034592,0.027505,0.032447,1.2576622432285038,1.0661078065768792
428133,0.04064,0.031558,0.039664,1.2877875657519489,1.0246066962484874
695192,0.054793,0.054034,0.054121,1.0140467113299034,1.0124166220136361
1128837,0.084444,0.084617,0.084465,0.9979554935769409,0.9997513763097141
1832980,0.096343,0.097058,0.096234,0.9926332708277524,1.00113265581811
2976351,0.090751,0.090989,0.090751,0.9973842992010022,1.0
4832930,0.110084,0.107657,0.114072,1.0225438197237522,0.9650396240970615
7847599,0.147343,0.140472,0.13902,1.0489136625092543,1.0598690835850957
12742749,0.206839,0.202352,0.195265,1.0221742310429351,1.0592732952654085
20691380,0.322905,0.303442,0.309251,1.0641407583656843,1.0441518378275252
33598182,0.500202,0.482993,0.482863,1.035629915961515,1.035908736018291
54555947,0.790834,0.769724,0.771176,1.027425414824015,1.0254909385146842
88586679,1.273025,1.235572,1.234705,1.0303122764193429,1.0310357534795762
143844988,2.135905,1.987067,1.987284,1.0749033625942157,1.0747859893200973
233572146,3.658338,3.249754,3.219713,1.125727670463672,1.1362310864353438
379269019,6.429586,5.195921,5.236387,1.2374295144210237,1.2278668478857655
615848211,11.152007,8.422743,8.748661,1.3240350560381575,1.2747101527879523
1000000000,18.801798,13.682734,14.928124,1.3741258143292123,1.2594883322244645
