n,L1_norm,mean-time(ms),median-time(ms),std-deviation(ms)
100000,46583650,0.016277,0.014067,0.008531
162377,69918202,0.020374,0.015974,0.013502
263665,89174562,0.027505,0.020981,0.022054
428133,237887648,0.031558,0.027895,0.012807
695192,235578321,0.054034,0.051975,0.007011
1128837,384129878,0.084617,0.082970,0.005497
1832980,1307338665,0.097058,0.094175,0.008639
2976351,1876795909,0.090989,0.088930,0.006716
4832930,1663141352,0.107657,0.105143,0.007139
7847599,2777070916,0.140472,0.138044,0.008926
12742749,5274230879,0.202352,0.193119,0.030422
20691380,8111513902,0.303442,0.300884,0.007224
33598182,21435442284,0.482993,0.473022,0.031179
54555947,18229439305,0.769724,0.760078,0.031923
88586679,36191339429,1.235572,1.225948,0.031733
143844988,130674397667,1.987067,1.977921,0.031769
233572146,99377323846,3.249754,3.242016,0.024985
379269019,140718178424,5.195921,5.187988,0.025647
615848211,295485328871,8.422743,8.415937,0.024415
1000000000,529987752328,13.682734,13.674974,0.028035
