n,L2_norm,mean-time(ms),median-time(ms),std-deviation(ms)
100000,179946.296875,0.024080,0.021935,0.006679
162377,213994.062500,0.029282,0.025988,0.012208
263665,217530.593750,0.037280,0.031948,0.018882
428133,430875.187500,0.043717,0.041008,0.010749
695192,353695.406250,0.058781,0.056982,0.007122
1128837,452362.468750,0.088518,0.087023,0.005786
1832980,1098733.250000,0.100266,0.097990,0.007250
2976351,1263392.125000,0.095367,0.092983,0.007221
4832930,947668.500000,0.114289,0.112057,0.006876
7847599,1233749.000000,0.151526,0.142813,0.030011
12742749,1817706.875000,0.211412,0.209093,0.007946
20691380,2211029.000000,0.327457,0.318766,0.030027
33598182,4291760.000000,0.504017,0.494003,0.031255
54555947,3077299.000000,0.794736,0.785828,0.030275
88586679,4764464.000000,1.279983,1.271009,0.032367
143844988,11907124.000000,2.147653,2.139091,0.036410
233572146,8008235.500000,3.742630,3.736019,0.027731
379269019,9012922.000000,6.465782,6.465912,0.035579
615848211,14469939.000000,11.197784,11.181116,0.047418
1000000000,20058580.000000,18.839446,18.821955,0.050185
