n,Linfinity_norm,mean-time(ms),median-time(ms),std-deviation(ms)
100000,2000,0.012203,0.010014,0.008313
162377,1969,0.014023,0.010014,0.014261
263665,2000,0.016798,0.010014,0.023299
428133,2000,0.013720,0.010967,0.009701
695192,1925,0.015627,0.013113,0.006806
1128837,2000,0.027006,0.025034,0.005690
1832980,2000,0.044194,0.035048,0.030736
2976351,2000,0.052799,0.051022,0.007033
4832930,2000,0.078223,0.076056,0.006590
7847599,2000,0.119816,0.118017,0.006744
12742749,2000,0.194008,0.184059,0.031188
20691380,2000,0.296008,0.293016,0.007981
33598182,2000,0.478419,0.468969,0.031357
54555947,2000,0.765540,0.756025,0.031334
88586679,2000,1.230522,1.220942,0.030995
143844988,2000,1.984640,1.974821,0.032655
233572146,2000,3.221338,3.211021,0.034177
379269019,2000,5.244428,5.240917,0.021891
615848211,2000,8.773349,8.784056,0.039957
1000000000,2000,15.505531,14.966011,1.802175
