n,Linfinity_norm,mean-time(ms),median-time(ms),std-deviation(ms)
100000,2000,0.019659,0.015974,0.010131
162377,1969,0.025663,0.012875,0.043288
263665,2000,0.018900,0.013113,0.019912
428133,2000,0.016928,0.013113,0.009917
695192,1925,0.017513,0.015020,0.008471
1128837,2000,0.027093,0.025034,0.005992
1832980,2000,0.036738,0.035048,0.006440
2976351,2000,0.052994,0.051022,0.007360
4832930,2000,0.078396,0.076056,0.007221
7847599,2000,0.119556,0.118017,0.007207
12742749,2000,0.186790,0.184059,0.007430
20691380,2000,0.303659,0.293970,0.031667
33598182,2000,0.481714,0.473022,0.030978
54555947,2000,0.772433,0.763893,0.031358
88586679,2000,1.252369,1.241922,0.031825
143844988,2000,2.091906,2.084970,0.033811
233572146,2000,3.610849,3.599882,0.040195
379269019,2000,6.343408,6.341934,0.032995
615848211,2000,11.068344,11.059046,0.044825
1000000000,2000,18.722903,18.726110,0.041957
