n,Linfinity_norm,mean-time(ms),median-time(ms),std-deviation(ms)
100000,2000,0.635646,0.634909,0.002131
162377,1969,1.033371,1.031160,0.003649
263665,2000,1.684449,1.678944,0.016053
428133,2000,2.734141,2.729893,0.011033
695192,1925,4.445488,4.442930,0.014019
1128837,2000,7.203644,7.202864,0.005226
1832980,2000,11.703925,11.700869,0.006223
2976351,2000,18.981869,18.980980,0.011090
4832930,2000,30.843063,30.838013,0.029659
7847599,2000,50.065582,50.063133,0.016123
12742749,2000,81.314976,81.303835,0.035147
20691380,2000,131.970080,131.942034,0.042445
33598182,2000,214.224165,214.219093,0.050050
54555947,2000,347.809033,347.777843,0.109826
88586679,2000,564.669696,564.683199,0.062199
143844988,2000,924.534841,924.274921,0.663304
233572146,2000,1494.031278,1493.911982,0.768136
379269019,2000,2418.259751,2418.192148,0.205389
615848211,2000,3926.678809,3926.669836,0.306181
1000000000,2000,6390.496384,6374.075174,50.708895
