n,gridStride_time,warpStride_time,blockStride_time,hostCompute_time,warpStride_speedup_over_gridStride,blockStride_speedup_over_gridStride,gridStride_speedup_over_hostCompute
100000,0.019659,0.011791,0.012203,0.635646,1.6672886099567468,1.6109972957469474,32.33358766976957
162377,0.025663,0.013828,0.014023,1.033371,1.8558721434770031,1.8300648933894315,40.266960215095665
263665,0.0189,0.016104,0.016798,1.684449,1.1736214605067063,1.1251339445172044,89.12428571428572
428133,0.016928,0.015454,0.01372,2.734141,1.095379836935421,1.2338192419825071,161.51589083175804
695192,0.017513,0.015996,0.015627,4.445488,1.0948362090522632,1.1206885518653613,253.83931936275908
1128837,0.027093,0.027201,0.027006,7.203644,0.9960295577368479,1.0032215063319263,265.885800760344
1832980,0.036738,0.037193,0.044194,11.703925,0.987766515204474,0.8312893152916686,318.57817518645544
2976351,0.052994,0.053644,0.052799,18.981869,0.987883081052867,1.0036932517661319,358.1890213986489
4832930,0.078396,0.078483,0.078223,30.843063,0.9988914796834983,1.0022116257366758,393.426488596357
7847599,0.119556,0.128378,0.119816,50.065582,0.9312810606178629,0.997830006009214,418.76260497172876
12742749,0.18679,0.186768,0.194008,81.314976,1.0001177931979783,0.9627953486454167,435.32831522030085
20691380,0.303659,0.30381,0.296008,131.97008,0.9995029788354564,1.0258472743979894,434.59960020944544
33598182,0.481714,0.478268,0.478419,214.224165,1.007205165304808,1.0068872682732082,444.71235006663704
54555947,0.772433,0.764608,0.76554,347.809033,1.0102340022599816,1.00900410167986,450.2772835961177
88586679,1.252369,1.230652,1.230522,564.669696,1.0176467433523042,1.0177542538857494,450.88124666132745
143844988,2.091906,1.983816,1.98464,924.534841,1.054485899902007,1.0540480893260238,441.95811905506275
233572146,3.610849,3.251119,3.221338,1494.031278,1.110648056869035,1.1209159051301043,413.76177126210484
379269019,6.343408,5.195293,5.244428,2418.259751,1.2209913858563897,1.2095519282560463,381.22405984291095
615848211,11.068344,8.421183,8.773349,3926.678809,1.3143455022886927,1.2615871088680046,354.76660365814433
1000000000,18.722903,13.681802,15.505531,6390.496384,1.3684530005623528,1.207498343655564,341.3197399997212
