n,Linfinity_norm,mean-time(ms),median-time(ms),std-deviation(ms)
100000,2000,0.011791,0.009060,0.008358
162377,1969,0.013828,0.010014,0.014005
263665,2000,0.016104,0.010014,0.020846
428133,2000,0.015454,0.011921,0.012446
695192,1925,0.015996,0.014067,0.006352
1128837,2000,0.027201,0.025988,0.005627
1832980,2000,0.037193,0.035048,0.006278
2976351,2000,0.053644,0.051022,0.006773
4832930,2000,0.078483,0.077009,0.006896
7847599,2000,0.128378,0.118971,0.031054
12742749,2000,0.186768,0.184059,0.007439
20691380,2000,0.303810,0.293970,0.031612
33598182,2000,0.478268,0.468969,0.031405
54555947,2000,0.764608,0.755072,0.032271
88586679,2000,1.230652,1.221180,0.031589
143844988,2000,1.983816,1.973867,0.031616
233572146,2000,3.251119,3.240108,0.032280
379269019,2000,5.195293,5.187988,0.026486
615848211,2000,8.421183,8.413792,0.025227
1000000000,2000,13.681802,13.674021,0.027799
