n,dotProduct,mean-time(ms),median-time(ms),std-deviation(ms)
100000,-3305388110,0.016277,0.014067,0.007206
162377,-3612739004,0.020916,0.015974,0.015311
263665,3912446326,0.027743,0.020981,0.022998
428133,-11207339884,0.031320,0.027895,0.012177
695192,13817903068,0.053774,0.051975,0.006795
1128837,47523334576,0.083533,0.082016,0.005472
1832980,-216160440044,0.102282,0.092983,0.030773
2976351,-220923142594,0.089710,0.087976,0.006728
4832930,18480490591,0.106573,0.104904,0.006522
7847599,1113545519479,0.138283,0.136852,0.006646
12742749,1198815869679,0.202309,0.192881,0.031762
20691380,1339760530079,0.302315,0.300884,0.006848
33598182,-3095210924381,0.483448,0.473976,0.031674
54555947,8168874355286,0.770352,0.761032,0.031078
88586679,-182934224833,1.234380,1.224995,0.032017
143844988,-29336814538144,1.988866,1.979113,0.031262
233572146,5551443721701,3.216483,3.208160,0.024276
379269019,12529839061749,5.314805,5.308867,0.025416
615848211,-19782251059940,9.017056,9.006023,0.059843
1000000000,-47521101234724,15.464284,15.465975,0.070796
