n,dotProduct,mean-time(ms),median-time(ms),std-deviation(ms)
100000,-3305388110,0.023148,0.019789,0.011264
162377,-3612739004,0.026638,0.022173,0.015374
263665,3912446326,0.033357,0.026941,0.020418
428133,-11207339884,0.040228,0.036955,0.011827
695192,13817903068,0.054663,0.051975,0.006830
1128837,47523334576,0.084118,0.082016,0.005671
1832980,-216160440044,0.095454,0.092983,0.007234
2976351,-220923142594,0.090447,0.088215,0.006488
4832930,18480490591,0.116803,0.108004,0.030537
7847599,1113545519479,0.140168,0.138044,0.006652
12742749,1198815869679,0.206709,0.204086,0.007448
20691380,1339760530079,0.323534,0.313997,0.031321
33598182,-3095210924381,0.500332,0.491142,0.030737
54555947,8168874355286,0.793110,0.783920,0.031468
88586679,-182934224833,1.285271,1.275063,0.033875
143844988,-29336814538144,2.183719,2.178907,0.034877
233572146,5551443721701,3.782554,3.779888,0.039897
379269019,12529839061749,6.565831,6.562948,0.037893
615848211,-19782251059940,11.315541,11.307001,0.024412
1000000000,-47521101234724,18.992012,18.978119,0.050710
