n,dotProduct,mean-time(ms),median-time(ms),std-deviation(ms)
100000,-3305388110,0.393564,0.392914,0.002735
162377,-3612739004,0.642972,0.640869,0.007617
263665,3912446326,1.040069,1.035929,0.006184
428133,-11207339884,1.688892,1.687050,0.011423
695192,13817903068,2.757398,2.752066,0.015724
1128837,47523334576,4.489118,4.484177,0.014706
1832980,-216160440044,7.301135,7.289886,0.034667
2976351,-220923142594,11.833819,11.833906,0.007985
4832930,18480490591,19.223517,19.218922,0.018344
7847599,1113545519479,31.200539,31.183958,0.062052
12742749,1198815869679,50.661347,50.654173,0.033363
20691380,1339760530079,82.258333,82.247972,0.024354
33598182,-3095210924381,133.621042,133.622885,0.047341
54555947,8168874355286,216.779167,216.775894,0.088771
88586679,-182934224833,351.908554,351.912022,0.072165
143844988,-29336814538144,571.584333,571.578979,0.099870
233572146,5551443721701,921.370701,921.361923,0.112713
379269019,12529839061749,1506.713542,1506.703854,0.125797
615848211,-19782251059940,2452.044054,2448.187113,12.795553
1000000000,-47521101234724,4770.482909,3975.062847,2638.394979
