n,gridStride_time,warpStride_time,blockStride_time,hostCompute_time,warpStride_speedup_over_gridStride,blockStride_speedup_over_gridStride,gridStride_speedup_over_hostCompute
100000,0.023148,0.015844,0.016277,0.393564,1.4609946983085078,1.4221293850218097,17.002073613271126
162377,0.026638,0.022216,0.020916,0.642972,1.1990457328051853,1.273570472365653,24.137397702530222
263665,0.033357,0.026855,0.027743,1.040069,1.2421150623719976,1.2023573514039576,31.179932248103846
428133,0.040228,0.039079,0.03132,1.688892,1.0294019806033932,1.284418901660281,41.98299691756986
695192,0.054663,0.06175,0.053774,2.757398,0.8852307692307693,1.0165321530851341,50.44359072864643
1128837,0.084118,0.08375,0.083533,4.489118,1.004394029850746,1.0070032202841992,53.36691314581898
1832980,0.095454,0.095389,0.102282,7.301135,1.000681420289551,0.9332433859330087,76.48851802962685
2976351,0.090447,0.090512,0.08971,11.833819,0.9992818631783631,1.0082153606063984,130.83705374418167
4832930,0.116803,0.106443,0.106573,19.223517,1.0973290869291545,1.0959905416944253,164.58067857846117
7847599,0.140168,0.139388,0.138283,31.200539,1.0055958906075126,1.0136314659068721,222.5938802009018
12742749,0.206709,0.202092,0.202309,50.661347,1.022846030520753,1.0217489088473573,245.08534703375275
20691380,0.323534,0.310161,0.302315,82.258333,1.043116317009553,1.0701883796702114,254.24942355362958
33598182,0.500332,0.483925,0.483448,133.621042,1.0339040140517641,1.0349241283447237,267.0647530040053
54555947,0.79311,0.770005,0.770352,216.779167,1.0300062986603982,1.0295423390865475,273.32799611655383
88586679,1.285271,1.234987,1.23438,351.908554,1.0407162180654532,1.0412279848993018,273.8010536299348
143844988,2.183719,1.987761,1.988866,571.584333,1.098582274227133,1.0979719096208593,261.7481154855547
233572146,3.782554,3.251509,3.216483,921.370701,1.1633226295852173,1.1759906705553862,243.58428220720708
379269019,6.565831,5.198457,5.314805,1506.713542,1.2630345889174421,1.2353851176101476,229.4779658507811
615848211,11.315541,8.42361,9.017056,2452.044054,1.3433125465210283,1.2549041505342764,216.69702350068812
1000000000,18.992012,13.687242,15.464284,4770.482909,1.387570410459609,1.2281210045030213,251.18365073695196
