n,dotProduct,mean-time(ms),median-time(ms),std-deviation(ms)
100000,-3305388110,0.015844,0.013113,0.007745
162377,-3612739004,0.022216,0.018120,0.012586
263665,3912446326,0.026855,0.020981,0.019350
428133,-11207339884,0.039079,0.036001,0.010226
695192,13817903068,0.061750,0.051975,0.031646
1128837,47523334576,0.083750,0.082016,0.005464
1832980,-216160440044,0.095389,0.092983,0.006342
2976351,-220923142594,0.090512,0.087976,0.009071
4832930,18480490591,0.106443,0.103951,0.006881
7847599,1113545519479,0.139388,0.137091,0.007309
12742749,1198815869679,0.202092,0.192881,0.031515
20691380,1339760530079,0.310161,0.301123,0.030778
33598182,-3095210924381,0.483925,0.474930,0.031204
54555947,8168874355286,0.770005,0.761032,0.031119
88586679,-182934224833,1.234987,1.225948,0.031808
143844988,-29336814538144,1.987761,1.977921,0.032583
233572146,5551443721701,3.251509,3.244162,0.025151
379269019,12529839061749,5.198457,5.192041,0.025113
615848211,-19782251059940,8.423610,8.414984,0.024732
1000000000,-47521101234724,13.687242,13.680935,0.026632
